,VWAP
2024-02-05 10:00:00-05:00,
2024-02-05 10:01:00-05:00,492.8276062011719
2024-02-05 10:02:00-05:00,492.7796315523335
2024-02-05 10:03:00-05:00,492.68579619982853
2024-02-05 10:04:00-05:00,492.59784181578163
2024-02-05 10:05:00-05:00,492.5757064311972
2024-02-05 10:06:00-05:00,492.5820324142745
2024-02-05 10:07:00-05:00,492.55068702392015
2024-02-05 10:08:00-05:00,492.5179831535694
2024-02-05 10:09:00-05:00,492.4526309234417
2024-02-05 10:10:00-05:00,492.4411428520244
2024-02-05 10:11:00-05:00,492.4340951248891
2024-02-05 10:12:00-05:00,492.41252775755385
2024-02-05 10:13:00-05:00,492.36439099095094
2024-02-05 10:14:00-05:00,492.33460065966364
2024-02-05 10:15:00-05:00,492.255882085017
2024-02-05 10:16:00-05:00,492.1523954961861
2024-02-05 10:17:00-05:00,492.11289907060905
2024-02-05 10:18:00-05:00,492.0628954478187
2024-02-05 10:19:00-05:00,491.9884559758734
2024-02-05 10:20:00-05:00,491.9499379957158
2024-02-05 10:21:00-05:00,491.93032724736554
2024-02-05 10:22:00-05:00,491.8827498606872
2024-02-05 10:23:00-05:00,491.86031151709847
2024-02-05 10:24:00-05:00,491.83593820012265
2024-02-05 10:25:00-05:00,491.8214470941146
2024-02-05 10:26:00-05:00,491.8066987211876
2024-02-05 10:27:00-05:00,491.79772264532227
2024-02-05 10:28:00-05:00,491.78736989786347
2024-02-05 10:29:00-05:00,491.7821386338609
2024-02-05 10:30:00-05:00,491.7761247084953
2024-02-05 10:31:00-05:00,491.76319733323623
2024-02-05 10:32:00-05:00,491.7490736822606
2024-02-05 10:33:00-05:00,491.7419628100185
2024-02-05 10:34:00-05:00,491.72642201644186
2024-02-05 10:35:00-05:00,491.7226916186821
2024-02-05 10:36:00-05:00,491.7197124631595
2024-02-05 10:37:00-05:00,491.7143370483149
2024-02-05 10:38:00-05:00,491.71175708074674
2024-02-05 10:39:00-05:00,491.7069117369129
2024-02-05 10:40:00-05:00,491.6864564920161
2024-02-05 10:41:00-05:00,491.67067347405816
2024-02-05 10:42:00-05:00,491.6303210878318
2024-02-05 10:43:00-05:00,491.60560467560776
2024-02-05 10:44:00-05:00,491.58618701379555
2024-02-05 10:45:00-05:00,491.56878606451966
2024-02-05 10:46:00-05:00,491.5544014423482
2024-02-05 10:47:00-05:00,491.5427387296016
2024-02-05 10:48:00-05:00,491.53105752947766
